"","reg_date","state_name","Freq","region","id","month","year"
"85","2020-05-05","AGUASCALIENTES",0,"01","1",5,2020
"86","2020-05-06","AGUASCALIENTES",0,"01","1",5,2020
"87","2020-05-07","AGUASCALIENTES",0,"01","1",5,2020
"88","2020-05-14","AGUASCALIENTES",0,"01","1",5,2020
"89","2020-05-26","AGUASCALIENTES",0,"01","1",5,2020
"90","2020-05-28","AGUASCALIENTES",0,"01","1",5,2020
"91","2020-05-30","AGUASCALIENTES",0,"01","1",5,2020
"92","2020-06-01","AGUASCALIENTES",0,"01","1",6,2020
"93","2020-06-03","AGUASCALIENTES",0,"01","1",6,2020
"94","2020-06-06","AGUASCALIENTES",0,"01","1",6,2020
"95","2020-06-07","AGUASCALIENTES",0,"01","1",6,2020
"96","2020-06-08","AGUASCALIENTES",0,"01","1",6,2020
"97","2020-06-09","AGUASCALIENTES",0,"01","1",6,2020
"98","2020-06-10","AGUASCALIENTES",0,"01","1",6,2020
"99","2020-06-11","AGUASCALIENTES",0,"01","1",6,2020
"100","2020-06-12","AGUASCALIENTES",0,"01","1",6,2020
"101","2019-05-23","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2019
"102","2019-05-25","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2019
"103","2019-05-26","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2019
"104","2019-06-23","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2019
"105","2019-06-25","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2019
"106","2019-07-23","BAJA_CALIFORNIA_NORTE",0,"02","2",7,2019
"107","2019-07-25","BAJA_CALIFORNIA_NORTE",0,"02","2",7,2019
"108","2019-07-31","BAJA_CALIFORNIA_NORTE",0,"02","2",7,2019
"109","2019-08-02","BAJA_CALIFORNIA_NORTE",0,"02","2",8,2019
"110","2019-08-03","BAJA_CALIFORNIA_NORTE",0,"02","2",8,2019
"111","2019-08-06","BAJA_CALIFORNIA_NORTE",0,"02","2",8,2019
"112","2019-08-07","BAJA_CALIFORNIA_NORTE",0,"02","2",8,2019
"113","2019-08-09","BAJA_CALIFORNIA_NORTE",0,"02","2",8,2019
"114","2019-08-10","BAJA_CALIFORNIA_NORTE",0,"02","2",8,2019
"115","2019-09-03","BAJA_CALIFORNIA_NORTE",0,"02","2",9,2019
"116","2019-09-05","BAJA_CALIFORNIA_NORTE",0,"02","2",9,2019
"117","2019-10-08","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"118","2019-10-09","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"119","2019-10-10","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"120","2019-10-11","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"121","2019-10-12","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"122","2019-10-13","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"123","2019-10-15","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"124","2019-10-18","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"125","2019-10-25","BAJA_CALIFORNIA_NORTE",0,"02","2",10,2019
"126","2019-11-06","BAJA_CALIFORNIA_NORTE",0,"02","2",11,2019
"127","2019-11-07","BAJA_CALIFORNIA_NORTE",0,"02","2",11,2019
"128","2019-11-13","BAJA_CALIFORNIA_NORTE",0,"02","2",11,2019
"129","2019-11-16","BAJA_CALIFORNIA_NORTE",0,"02","2",11,2019
"130","2019-11-18","BAJA_CALIFORNIA_NORTE",0,"02","2",11,2019
"131","2019-11-30","BAJA_CALIFORNIA_NORTE",0,"02","2",11,2019
"132","2019-12-10","BAJA_CALIFORNIA_NORTE",0,"02","2",12,2019
"133","2019-12-31","BAJA_CALIFORNIA_NORTE",0,"02","2",12,2019
"134","2020-01-10","BAJA_CALIFORNIA_NORTE",0,"02","2",1,2020
"135","2020-01-22","BAJA_CALIFORNIA_NORTE",0,"02","2",1,2020
"136","2020-01-23","BAJA_CALIFORNIA_NORTE",0,"02","2",1,2020
"137","2020-01-30","BAJA_CALIFORNIA_NORTE",1,"02","2",1,2020
"138","2020-02-04","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"139","2020-02-05","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"140","2020-02-06","BAJA_CALIFORNIA_NORTE",1,"02","2",2,2020
"141","2020-02-07","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"142","2020-02-08","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"143","2020-02-09","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"144","2020-02-10","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"145","2020-02-11","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"146","2020-02-12","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"147","2020-02-13","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"148","2020-02-14","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"149","2020-02-15","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"150","2020-02-16","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"151","2020-02-17","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"152","2020-02-22","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"153","2020-02-23","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"154","2020-02-24","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"155","2020-02-26","BAJA_CALIFORNIA_NORTE",1,"02","2",2,2020
"156","2020-02-27","BAJA_CALIFORNIA_NORTE",2,"02","2",2,2020
"157","2020-02-28","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"158","2020-02-29","BAJA_CALIFORNIA_NORTE",0,"02","2",2,2020
"159","2020-03-01","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"160","2020-03-02","BAJA_CALIFORNIA_NORTE",1,"02","2",3,2020
"161","2020-03-03","BAJA_CALIFORNIA_NORTE",1,"02","2",3,2020
"162","2020-03-04","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"163","2020-03-05","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"164","2020-03-06","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"165","2020-03-10","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"166","2020-03-18","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"167","2020-03-24","BAJA_CALIFORNIA_NORTE",0,"02","2",3,2020
"168","2020-04-01","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"169","2020-04-09","BAJA_CALIFORNIA_NORTE",1,"02","2",4,2020
"170","2020-04-10","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"171","2020-04-11","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"172","2020-04-12","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"173","2020-04-13","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"174","2020-04-14","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"175","2020-04-15","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"176","2020-04-16","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"177","2020-04-18","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"178","2020-04-20","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"179","2020-04-21","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"180","2020-04-22","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"181","2020-04-23","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"182","2020-04-27","BAJA_CALIFORNIA_NORTE",0,"02","2",4,2020
"183","2020-05-02","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"184","2020-05-04","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"185","2020-05-05","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"186","2020-05-06","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"187","2020-05-07","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"188","2020-05-14","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"189","2020-05-26","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"190","2020-05-28","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"191","2020-05-30","BAJA_CALIFORNIA_NORTE",0,"02","2",5,2020
"192","2020-06-01","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"193","2020-06-03","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"194","2020-06-06","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"195","2020-06-07","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"196","2020-06-08","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"197","2020-06-09","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"198","2020-06-10","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"199","2020-06-11","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"200","2020-06-12","BAJA_CALIFORNIA_NORTE",0,"02","2",6,2020
"201","2019-05-23","BAJA_CALIFORNIA_SUR",0,"03","3",5,2019
"202","2019-05-25","BAJA_CALIFORNIA_SUR",0,"03","3",5,2019
"203","2019-05-26","BAJA_CALIFORNIA_SUR",0,"03","3",5,2019
"204","2019-06-23","BAJA_CALIFORNIA_SUR",0,"03","3",6,2019
"205","2019-06-25","BAJA_CALIFORNIA_SUR",0,"03","3",6,2019
"206","2019-07-23","BAJA_CALIFORNIA_SUR",0,"03","3",7,2019
"207","2019-07-25","BAJA_CALIFORNIA_SUR",2,"03","3",7,2019
"208","2019-07-31","BAJA_CALIFORNIA_SUR",0,"03","3",7,2019
"209","2019-08-02","BAJA_CALIFORNIA_SUR",0,"03","3",8,2019
"210","2019-08-03","BAJA_CALIFORNIA_SUR",0,"03","3",8,2019
"211","2019-08-06","BAJA_CALIFORNIA_SUR",0,"03","3",8,2019
"212","2019-08-07","BAJA_CALIFORNIA_SUR",0,"03","3",8,2019
"213","2019-08-09","BAJA_CALIFORNIA_SUR",0,"03","3",8,2019
"214","2019-08-10","BAJA_CALIFORNIA_SUR",0,"03","3",8,2019
"215","2019-09-03","BAJA_CALIFORNIA_SUR",0,"03","3",9,2019
"216","2019-09-05","BAJA_CALIFORNIA_SUR",0,"03","3",9,2019
"217","2019-10-08","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"218","2019-10-09","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"219","2019-10-10","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"220","2019-10-11","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"221","2019-10-12","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"222","2019-10-13","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"223","2019-10-15","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"224","2019-10-18","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"225","2019-10-25","BAJA_CALIFORNIA_SUR",0,"03","3",10,2019
"226","2019-11-06","BAJA_CALIFORNIA_SUR",0,"03","3",11,2019
"227","2019-11-07","BAJA_CALIFORNIA_SUR",0,"03","3",11,2019
"228","2019-11-13","BAJA_CALIFORNIA_SUR",0,"03","3",11,2019
"229","2019-11-16","BAJA_CALIFORNIA_SUR",0,"03","3",11,2019
"230","2019-11-18","BAJA_CALIFORNIA_SUR",0,"03","3",11,2019
"231","2019-11-30","BAJA_CALIFORNIA_SUR",0,"03","3",11,2019
"232","2019-12-10","BAJA_CALIFORNIA_SUR",0,"03","3",12,2019
"233","2019-12-31","BAJA_CALIFORNIA_SUR",0,"03","3",12,2019
"234","2020-01-10","BAJA_CALIFORNIA_SUR",0,"03","3",1,2020
"235","2020-01-22","BAJA_CALIFORNIA_SUR",0,"03","3",1,2020
